LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES
21133,47.75,33.65,MN7-8,1.0,0.0,2.0,0.5,0.0
24420,45.8333,25.6028,MN16,0.0,2.0,2.0,0.0,1.0
28322,10.477093306604099,40.44573783874512,MN15,4.0,6.0,11.0,0.36363636363636365,0.5454545454545454
23643,40.651,27.144,MN9,0.0,1.0,3.0,0.0,0.3333333333333333
27304,40.0663151,-0.2743515,MN4,0.0,0.0,6.0,0.0,0.0
21131,45.4,36.5,MN5,0.0,0.0,1.0,0.0,0.0
28053,42.8,11.266666666666698,MQ18,0.0,1.0,1.0,0.0,1.0
27467,47.6029081,3.758239,MQ19,0.0,1.0,1.0,0.0,1.0
23187,38.533,28.633000000000006,MN5,4.0,0.0,5.0,0.8,0.0
21386,36.967,-3.9,MN13,4.0,2.0,8.0,0.5,0.25
28129,37.216666666666704,-3.6166666666666702,MQ18,0.0,0.0,1.0,0.0,0.0
28277,35.8333333,7.0666667000000425,MN13,0.0,0.0,1.0,0.0,0.0
27819,41.3108825,-2.0535531,MN3,0.0,1.0,4.0,0.0,0.25
20136,42.13,43.51,MN10,4.0,4.0,4.0,1.0,1.0
20485,41.3891,-1.6968,MN4,3.0,1.0,12.0,0.25,0.08333333333333333
27959,41.385277777777794,-1.7261111111111098,MN6,0.0,0.0,3.0,0.0,0.0
27820,41.361,-1.7269,MN5,0.0,0.0,5.0,0.0,0.0
27821,41.3479,-1.7197,MN5,0.0,1.0,3.0,0.0,0.3333333333333333
21510,41.3626,-1.7227,MN6,1.0,3.0,15.0,0.06666666666666667,0.2
27822,41.365,-1.725,MN5,2.0,0.0,2.0,1.0,0.0
27823,41.3801,-1.7289,MN5,0.0,0.0,1.0,0.0,0.0
27567,42.2278373,-2.1000138,MN1,1.0,0.0,4.0,0.25,0.0
28052,43.6666666666667,10.55,MQ18,0.0,3.0,3.0,0.0,1.0
20686,40.4,-1.1,MN13,8.0,12.0,27.0,0.2962962962962963,0.4444444444444444
20719,40.355555555555604,-1.0875,MN15,1.0,3.0,4.0,0.25,0.75
28130,37.216666666666704,-3.6166666666666702,MQ18,0.0,0.0,1.0,0.0,0.0
22345,-28.467,16.683,MN5,18.0,26.0,31.0,0.5806451612903226,0.8387096774193549
28691,-38.64562,-63.0259,MN10,36.0,35.0,36.0,1.0,0.9722222222222222
24682,40.3861,-3.65,MN5,3.0,0.0,9.0,0.3333333333333333,0.0
20041,41.1756,-1.4466,MN6,5.0,1.0,13.0,0.38461538461538464,0.07692307692307693
20595,41.1756,-1.4466,MN7-8,0.0,1.0,3.0,0.0,0.3333333333333333
20596,41.1756,-1.4466,MN7-8,0.0,1.0,3.0,0.0,0.3333333333333333
20597,41.1756,-1.4466,MN6,3.0,1.0,19.0,0.15789473684210525,0.05263157894736842
20006,48.0773,1.8583,MN4,13.0,11.0,44.0,0.29545454545454547,0.25
20077,41.183,-1.5,MN4,13.0,8.0,34.0,0.38235294117647056,0.23529411764705882
20335,48.7,12.05,MN5,0.0,0.0,1.0,0.0,0.0
24374,11.15,40.3167,MN15,2.0,5.0,9.0,0.2222222222222222,0.5555555555555556
26977,10.1833333333333,40.3333333333333,MN15,5.0,7.0,12.0,0.4166666666666667,0.5833333333333334
23249,10.303519202771957,40.23313522338867,MN13,23.0,8.0,27.0,0.8518518518518519,0.2962962962962963
23505,38.047,31.834,MN9,0.0,0.0,1.0,0.0,0.0
23506,38.045,31.829,MN11,0.0,0.0,1.0,0.0,0.0
23539,38.551,27.569000000000006,MN17,1.0,0.0,1.0,1.0,0.0
23569,39.709,28.764,MN4,0.0,1.0,1.0,0.0,1.0
23315,40.191,32.501,MN12,0.0,0.0,1.0,0.0,0.0
